System,Sub-System,Diagnostic Code,Condition,Regulation,Link
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5000","Osteomyelitis, acute, subacute, or chronic","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5001","Bones and Joints, tuberculosis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5002","Multi-joint arthritis (except post-traumatic and gout)","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5003","Degenerative arthritis, other than post-traumatic","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5004","Arthritis, gonorrheal","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5005","Arthritis, pneumococcic","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5006","Arthritis, typhoid","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5007","Arthritis, syphilitic","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5008","Arthritis, streptococcic","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5009","Other specified forms of arthropathy (excluding gout)","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5010","Post-traumatic arthritis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5011","Decompression illness","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5012","Bones, neoplasm, malignant, primary or secondary","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5013","Osteoporosis, residuals of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5014","Osteomalacia, residuals of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5015","Bones, neoplasm, benign","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5016","Osteitis deformans","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5017","Gout","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5019","Bursitis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5021","Myositis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5023","Heterotopic ossification","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5024","Tenosynovitis, tendinitis, tendinosis or tendinopathy","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Acute, Subacute, or Chronic Diseases","5025","Fibromyalgia","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Prosthetic Implants","5051","Shoulder replacement (prosthesis)","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Prosthetic Implants","5052","Elbow replacement (prosthesis)","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Prosthetic Implants","5053","Wrist replacement (prosthesis)","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Prosthetic Implants","5054","Hip, resurfacing or replacement (prosthesis)","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Prosthetic Implants","5055","Knee, resurfacing or replacement (prosthesis)","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Prosthetic Implants","5056","Ankle replacement (prosthesis)","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Combinations of Disabilities","5104","Anatomical loss of one hand and loss of use of one foot","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Combinations of Disabilities","5105","Anatomical loss of one foot and loss of use of one hand","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Combinations of Disabilities","5106","Anatomical loss of both hands","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Combinations of Disabilities","5107","Anatomical loss of both feet","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Combinations of Disabilities","5108","Anatomical loss of one hand and one foot","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Combinations of Disabilities","5109","Loss of use of both hands","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Combinations of Disabilities","5110","Loss of use of both feet","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Combinations of Disabilities","5111","Loss of use of one hand and one foot","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5120","Complete amputation, upper extremity","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5121","Amputation Above insertion of deltoid","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5122","Amputation Below insertion of deltoid","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5123","Forearm amputation Above insertion of pronator teres","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5124","Forearm amputation Below insertion of pronator teres","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5125","Hand, loss of use of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5126","Five digits of one hand, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5127","Thumb, index, long and ring, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5128","Thumb, index, long and little, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5129","Thumb, index, ring and little, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5130","Thumb, long, ring and little, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5131","Index, long, ring and little, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5132","Thumb, index and long, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5133","Thumb, index and ring, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5134","Thumb, index and little, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5135","Thumb, long and ring, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5136","Thumb, long and little, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5137","Thumb, ring and little, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5138","Index, long and ring, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5139","Index, long and little, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
