Diagnostic Code,Condition,Regulation,Link
5000-5298,"Musculoskeletal System (Bones, Joints, Spine, Amputations)",38 CFR § 4.71a,https://www.ecfr.gov/current/title-38/section-4.71a
5301-5331,Muscle Injuries,38 CFR § 4.73,https://www.ecfr.gov/current/title-38/section-4.73
6000-6092,Diseases of the Eye,38 CFR § 4.79,https://www.ecfr.gov/current/title-38/section-4.79
6200-6260,Diseases of the Ear (Hearing/Vestibular),38 CFR § 4.87,https://www.ecfr.gov/current/title-38/section-4.87
6275-6276,Other Sense Organs (Smell/Taste),38 CFR § 4.87a,https://www.ecfr.gov/current/title-38/section-4.87a
6300-6354,"Infectious Diseases, Immune Disorders, Nutritional Deficiencies",38 CFR § 4.88b,https://www.ecfr.gov/current/title-38/section-4.88b
6502-6847,"Respiratory System (Nose, Throat, Lungs)",38 CFR § 4.97,https://www.ecfr.gov/current/title-38/section-4.97
7000-7124,"Cardiovascular System (Heart, Arteries, Veins)",38 CFR § 4.104,https://www.ecfr.gov/current/title-38/section-4.104
7200-7357,Digestive System,38 CFR § 4.114,https://www.ecfr.gov/current/title-38/section-4.114
7500-7545,Genitourinary System,38 CFR § 4.115b,https://www.ecfr.gov/current/title-38/section-4.115b
7610-7632,Gynecological Conditions and Disorders of the Breast,38 CFR § 4.116,https://www.ecfr.gov/current/title-38/section-4.116
7702-7725,Hemic and Lymphatic Systems,38 CFR § 4.117,https://www.ecfr.gov/current/title-38/section-4.117
7800-7833,The Skin,38 CFR § 4.118,https://www.ecfr.gov/current/title-38/section-4.118
7900-7919,Endocrine System,38 CFR § 4.119,https://www.ecfr.gov/current/title-38/section-4.119
8000-8914,Neurological Conditions and Convulsive Disorders,38 CFR § 4.124a,https://www.ecfr.gov/current/title-38/section-4.124a
9201-9521,Mental Disorders,38 CFR § 4.130,https://www.ecfr.gov/current/title-38/section-4.130
9900-9918,Dental and Oral Conditions,38 CFR § 4.150,https://www.ecfr.gov/current/title-38/section-4.150
5000,"Osteomyelitis, acute, subacute, or chronic",38 CFR § 4.71a,https://www.ecfr.gov/current/title-38/section-4.71a
5001,"Bones and Joints, tuberculosis",38 CFR § 4.71a,https://www.ecfr.gov/current/title-38/section-4.71a
5002,Multi-joint arthritis (except post-traumatic and gout),38 CFR § 4.71a,https://www.ecfr.gov/current/title-38/section-4.71a
5003,"Degenerative arthritis, other than post-traumatic",38 CFR § 4.71a,https://www.ecfr.gov/current/title-38/section-4.71a
5009,Other specified forms of arthropathy (excluding gout),38 CFR § 4.71a,https://www.ecfr.gov/current/title-38/section-4.71a
5010,Post-traumatic arthritis,38 CFR § 4.71a,https://www.ecfr.gov/current/title-38/section-4.71a
5011,Decompression illness,38 CFR § 4.71a,https://www.ecfr.gov/current/title-38/section-4.71a
5012,"Bones, neoplasm, malignant, primary or secondary",38 CFR § 4.71a,https://www.ecfr.gov/current/title-38/section-4.71a
5013,"Osteoporosis, residuals of",38 CFR § 4.71a,https://www.ecfr.gov/current/title-38/section-4.71a
